Year,Bank Interest,Service Costs, Property Price Growth
1,-3461,-20000.00,9000.00
2,-3374,-2500.00,10000.00
3,-3285,-2550.00,10400.00
4,-3195,-2601.00,10816.00
5,-3103,-2653.02,11249.00
6,-3009,-2706.08,11699.00
7,-2913,-2760.20,12167.00
8,-2815,-2815.41,12653.00
9,-2715,-2871.71,13159.00
10,-2613,-2929.15,13686.00
11,-2509,-2987.73,14233.00
12,-2403,-3047.49,14802.00
13,-2295,-3108.44,15395.00
14,-2185,-3170.60,16010.00
15,-2072,-3234.02,16651.00
16,-1957,-3298.70,17317.00
17,-1840,-3364.67,18009.00
18,-1721,-3431.96,18730.00
19,-1599,-3500.60,19479.00
20,-1474,-3570.62,20258.00
21,-1347,-3642.03,21068.00
22,-1218,-3714.87,21911.00
23,-1086,-3789.17,22788.00
24,-951,-3864.95,23699.00
25,-814,-3942.25,24647.00
26,-673,-4021.09,25633.00
27,-530,-4101.51,26658.00
28,-384,-4183.55,27725.00
29,-235,-4267.22,28834.00
30,-83,-4352.56,29987.00
